Date (NZT),Bluetooth alerts - devices,Bluetooth key uploads - devices
1/01/2022,8,1
2/01/2022,0,0
3/01/2022,11,1
4/01/2022,0,1
5/01/2022,0,1
6/01/2022,47,2
7/01/2022,46,3
8/01/2022,8,2
9/01/2022,91,5
10/01/2022,3,0
11/01/2022,1,0
12/01/2022,27,5
13/01/2022,33,4
14/01/2022,11,4
15/01/2022,34,4
16/01/2022,6,1
17/01/2022,26,3
18/01/2022,19,2
19/01/2022,31,4
20/01/2022,2,5
21/01/2022,8,4
22/01/2022,18,7
23/01/2022,28,3
24/01/2022,1,1
25/01/2022,5,1
26/01/2022,20,5
27/01/2022,82,14
28/01/2022,74,12
29/01/2022,82,14
30/01/2022,87,19
31/01/2022,67,18
1/02/2022,66,20
2/02/2022,62,18
3/02/2022,99,18
4/02/2022,145,46
5/02/2022,163,59
6/02/2022,140,61
7/02/2022,123,48
8/02/2022,197,54
9/02/2022,194,61
10/02/2022,327,88
11/02/2022,288,97
12/02/2022,250,92
13/02/2022,289,111
14/02/2022,253,53
15/02/2022,451,158
16/02/2022,346,90
17/02/2022,1083,294
18/02/2022,1092,264
19/02/2022,1303,281
20/02/2022,1398,310
21/02/2022,1518,310
22/02/2022,1442,253
23/02/2022,2500,471
24/02/2022,2916,581
25/02/2022,4468,1069
26/02/2022,10354,1997
27/02/2022,7522,1415
28/02/2022,4525,884
1/03/2022,2236,607
2/03/2022,1278,540
3/03/2022,1790,582
4/03/2022,1123,390
5/03/2022,849,423
6/03/2022,1476,464
7/03/2022,13043,441
8/03/2022,2186,479
9/03/2022,1639,445
10/03/2022,1655,416
11/03/2022,1712,482
12/03/2022,2767,779
13/03/2022,4398,958
14/03/2022,4101,894
15/03/2022,3894,984
16/03/2022,3843,990
17/03/2022,3094,831
18/03/2022,2931,748
19/03/2022,3260,786
20/03/2022,3697,848
21/03/2022,3136,721
22/03/2022,5619,1667
23/03/2022,5771,1722
24/03/2022,4312,1353
25/03/2022,3962,1216
26/03/2022,3198,968
27/03/2022,3884,1037
28/03/2022,4253,1158
29/03/2022,4278,1168
30/03/2022,3546,1046
